"assets","utility"
"  10000","-1.2471853"
"  20000","-0.8818855"
"  30000","-0.7200861"
"  40000","-0.6236092"
"  50000","-0.5577660"
"  60000","-0.5091717"
"  70000","-0.4716012"
"  80000","-0.4411128"
"  90000","-0.4158591"
" 100000","-0.3944974"
" 110000","-0.3761219"
" 120000","-0.3600968"
" 130000","-0.3464646"
" 140000","-0.3338145"
" 150000","-0.3224580"
" 160000","-0.3121886"
" 170000","-0.3028428"
" 180000","-0.2942895"
" 190000","-0.2864222"
" 200000","-0.2791531"
" 210000","-0.2724097"
" 220000","-0.2671852"
" 230000","-0.2612523"
" 240000","-0.2556846"
" 250000","-0.2504428"
" 260000","-0.2455273"
" 270000","-0.2409101"
" 280000","-0.2365603"
" 290000","-0.2324520"
" 300000","-0.2285639"
" 310000","-0.2248782"
" 320000","-0.2213045"
" 330000","-0.2179423"
" 340000","-0.2147373"
" 350000","-0.2116632"
" 360000","-0.2087141"
" 370000","-0.2058829"
" 380000","-0.2031627"
" 390000","-0.2005468"
" 400000","-0.1980288"
" 410000","-0.1956029"
" 420000","-0.1932637"
" 430000","-0.1910063"
" 440000","-0.1888260"
" 450000","-0.1867185"
" 460000","-0.1846799"
" 470000","-0.1827066"
" 480000","-0.1807951"
" 490000","-0.1789424"
" 500000","-0.1771453"
" 510000","-0.1754014"
" 520000","-0.1737079"
" 530000","-0.1720624"
" 540000","-0.1704629"
" 550000","-0.1689071"
" 560000","-0.1673932"
" 570000","-0.1659193"
" 580000","-0.1664183"
" 590000","-0.1650062"
" 600000","-0.1636294"
" 610000","-0.1622865"
" 620000","-0.1609762"
" 630000","-0.1596971"
" 640000","-0.1584481"
" 650000","-0.1572280"
" 660000","-0.1560356"
" 670000","-0.1548701"
" 680000","-0.1537304"
" 690000","-0.1526155"
" 700000","-0.1515247"
" 710000","-0.1504569"
" 720000","-0.1494116"
" 730000","-0.1483878"
" 740000","-0.1473849"
" 750000","-0.1464021"
" 760000","-0.1454389"
" 770000","-0.1444945"
" 780000","-0.1435684"
" 790000","-0.1426600"
" 800000","-0.1417687"
" 810000","-0.1408941"
" 820000","-0.1400355"
" 830000","-0.1391926"
" 840000","-0.1383648"
" 850000","-0.1375517"
" 860000","-0.1367529"
" 870000","-0.1359680"
" 880000","-0.1351965"
" 890000","-0.1344382"
" 900000","-0.1336925"
" 910000","-0.1329593"
" 920000","-0.1322381"
" 930000","-0.1315286"
" 940000","-0.1308305"
" 950000","-0.1301436"
" 960000","-0.1294674"
" 970000","-0.1288018"
" 980000","-0.1281464"
" 990000","-0.1275011"
"1000000","-0.1268655"
